Date_Start_Date,Project_Size,Project_Cost
1/4/2017,0,0
1/4/2017,0,0
1/4/2017,0,0
1/4/2017,0,0
1/4/2017,0,0
1/4/2017,0,0
1/4/2017,0,0
1/4/2017,0,0
1/4/2017,0,0
1/4/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,1,1
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,1,1
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,1,1
1/5/2017,0,0
1/5/2017,1,1
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,1,1
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,0,0
1/5/2017,1,1
1/6/2017,8127,1300000
1/6/2017,8127,1300000
1/6/2017,0,0
1/6/2017,0,0
1/8/2017,0,0
1/8/2017,0,0
1/8/2017,0,0
1/8/2017,0,0
1/9/2017,0,0
1/9/2017,0,0
1/11/2017,1,1
1/11/2017,1,1
1/11/2017,1,1
1/11/2017,1,1
1/11/2017,1,1
1/11/2017,1,1
1/11/2017,1,1
1/13/2017,1,1
1/13/2017,1,1
1/16/2017,1,1
1/16/2017,1,1
1/16/2017,1,1
1/16/2017,1,1
1/16/2017,1,1
1/16/2017,1,1
1/16/2017,1,1
1/16/2017,0,0
1/16/2017,0,0
1/16/2017,0,0
1/18/2017,1,1
1/18/2017,0,0
1/18/2017,0,0
1/18/2017,1,1
1/18/2017,1,1
1/21/2017,0,0
1/23/2017,1,1
1/23/2017,1,1
1/23/2017,1,1
1/24/2017,25000,3000000
1/24/2017,25000,3000000
1/24/2017,25000,3000000
1/24/2017,25000,3000000
1/24/2017,25000,3000000
1/24/2017,25000,3000000
1/24/2017,25000,3000000
1/26/2017,0,0
1/26/2017,0,0
1/26/2017,0,0
