Date_Last_Change,Project_Cost,Project_Size
2017-07-18 09:07:30,0,0
2017-07-18 09:07:30,0,0
2017-07-18 09:07:30,0,0
2017-07-18 09:07:30,0,0
2017-07-18 09:07:30,0,0
2017-07-18 09:07:30,0,0
2017-07-18 09:07:30,0,0
2017-07-18 09:07:30,0,0
2017-07-18 09:07:30,0,0
2017-07-18 09:07:30,0,0
2017-11-17 09:21:40,0,0
2017-11-17 09:21:40,0,0
2017-11-17 09:21:40,0,0
2017-11-17 09:21:40,0,0
2017-11-17 09:21:40,0,0
2017-11-17 09:21:40,0,0
2017-11-17 09:21:40,0,0
2018-12-28 08:33:49,1,1
2017-11-17 09:21:40,0,0
2017-11-17 09:21:40,0,0
2017-11-17 09:21:40,0,0
2018-12-04 09:36:08,1,1
2018-12-04 09:36:08,1,1
2018-12-04 09:36:08,1,1
2018-12-04 09:36:08,1,1
2018-12-04 09:36:08,1,1
2018-12-04 09:36:08,1,1
2018-12-04 09:36:08,1,1
2018-12-17 15:28:25,0,0
2018-12-17 15:28:25,0,0
2018-12-17 15:28:25,0,0
2018-12-17 15:28:25,0,0
2018-12-28 08:33:49,1,1
2018-12-28 08:33:49,1,1
2018-12-28 08:33:49,1,1
2018-12-28 08:33:49,1,1
2018-12-28 08:33:49,1,1
2018-12-28 08:33:49,1,1
2018-12-28 08:33:49,1,1
2018-12-28 08:33:49,1,1
2018-12-28 08:33:49,1,1
2018-12-28 08:33:49,1,1
2018-12-17 15:28:25,0,0
2018-12-17 15:28:25,0,0
2018-12-17 15:28:25,0,0
2018-12-17 15:28:25,0,0
2018-12-04 09:36:08,1,1
2018-12-17 15:28:25,0,0
2018-12-17 15:28:25,0,0
2018-12-17 15:28:25,0,0
2018-12-04 09:36:08,1,1
2017-11-17 09:21:40,0,0
2018-12-04 09:36:08,1,1
2017-10-20 18:39:58,0,0
2017-10-20 18:39:58,0,0
2017-10-20 18:39:58,0,0
2017-10-20 18:39:58,0,0
2018-11-29 16:49:19,1,1
2017-10-20 18:39:58,0,0
2017-10-20 18:39:58,0,0
2017-10-20 18:39:58,0,0
2017-10-20 18:39:58,0,0
2018-11-29 16:49:19,1,1
2018-12-04 09:36:08,1,1
2017-10-20 18:39:58,0,0
2017-10-20 18:39:58,0,0
2018-11-29 16:49:19,1,1
2018-11-29 16:49:19,1,1
2018-11-29 16:49:19,1,1
2018-11-29 16:49:19,1,1
2018-11-29 16:49:19,1,1
2018-11-29 16:49:19,1,1
2018-11-29 16:49:19,1,1
2018-11-29 16:49:19,1,1
2017-10-25 14:59:30,0,0
2017-10-25 14:59:30,0,0
2017-10-20 18:39:58,0,0
2017-10-25 14:59:30,0,0
2017-11-09 15:42:17,0,0
2017-11-09 15:42:17,0,0
2017-11-09 15:42:17,0,0
2017-11-09 15:42:17,0,0
2017-11-09 15:42:17,0,0
2017-11-09 15:42:17,0,0
2017-11-09 15:42:17,0,0
2017-11-09 15:42:17,0,0
2017-11-09 15:42:17,0,0
2017-10-25 14:59:30,0,0
2017-11-09 15:42:17,0,0
2017-11-09 15:42:17,0,0
2017-10-25 14:59:30,0,0
2017-10-25 14:59:30,0,0
2017-10-25 14:59:30,0,0
2017-10-25 14:59:30,0,0
2017-10-25 14:59:30,0,0
2017-10-25 14:59:30,0,0
2017-10-25 14:59:30,0,0
2018-11-29 16:49:19,1,1
2019-03-26 18:09:56,1300000,8127
2019-03-26 18:09:56,1300000,8127
2017-11-29 15:56:28,0,0
2017-11-29 15:56:28,0,0
2018-02-02 15:24:55,0,0
2018-02-02 15:24:55,0,0
2018-02-02 15:24:55,0,0
2018-02-02 15:24:55,0,0
2019-03-15 12:56:01,0,0
2019-03-15 12:56:01,0,0
2019-02-15 08:24:18,1,1
2019-02-15 08:24:18,1,1
2019-02-15 08:24:18,1,1
2019-02-15 08:24:18,1,1
2019-02-15 08:24:18,1,1
2019-02-15 08:24:18,1,1
2019-02-15 08:24:18,1,1
2018-07-17 14:19:47,1,1
2018-07-17 14:19:47,1,1
2019-02-08 18:09:17,1,1
2019-02-08 18:09:17,1,1
2019-02-08 18:09:17,1,1
2019-02-08 18:09:17,1,1
2019-02-08 18:09:17,1,1
2019-02-08 18:09:17,1,1
2019-02-08 18:09:17,1,1
2017-08-14 14:42:25,0,0
2017-08-14 14:42:25,0,0
2017-08-14 14:42:25,0,0
2019-05-08 08:27:27,1,1
2017-06-02 16:24:44,0,0
2017-06-02 16:24:44,0,0
2019-07-23 18:04:19,1,1
2019-07-23 18:04:19,1,1
2017-09-22 07:11:45,0,0
2020-01-07 11:04:12,1,1
2020-01-07 11:04:12,1,1
2020-01-07 11:04:12,1,1
2019-06-20 14:37:45,3000000,25000
2019-06-20 14:37:45,3000000,25000
2019-06-20 14:37:45,3000000,25000
2019-06-20 14:37:45,3000000,25000
2019-06-20 14:37:45,3000000,25000
2019-06-20 14:37:45,3000000,25000
2019-06-20 14:37:45,3000000,25000
2018-02-21 08:04:58,0,0
2018-02-21 08:04:58,0,0
2018-02-21 08:04:58,0,0
2019-05-30 17:02:13,1,1
2019-05-30 17:02:13,1,1
2019-05-30 17:02:13,1,1
2020-01-13 21:13:37,1000000,5000
2020-01-13 21:13:37,1000000,5000
2020-01-13 21:13:37,1000000,5000
2020-01-13 21:13:37,1000000,5000
2020-01-13 21:13:37,1000000,5000
2020-01-13 21:13:37,1000000,5000
2020-01-13 21:13:37,1000000,5000
2020-01-13 21:13:37,1000000,5000
2017-07-14 04:59:37,0,0
2017-07-24 13:43:24,0,0
2017-07-24 13:43:24,0,0
2020-01-14 13:51:34,1,1
2020-01-14 13:10:33,1,1
2017-12-18 15:41:46,0,0
2017-10-25 14:28:08,1,1
2017-10-25 14:28:08,1,1
2017-10-25 14:28:08,1,1
2017-11-01 14:07:49,0,0
2017-11-01 14:07:49,0,0
2017-11-01 14:07:49,0,0
2017-08-02 13:57:48,0,0
2017-08-02 13:57:48,0,0
2017-08-02 13:57:48,0,0
2017-08-02 13:57:48,0,0
2017-09-28 10:36:19,0,0
2017-09-28 10:36:19,0,0
2017-09-28 10:36:19,0,0
2017-09-28 10:36:19,0,0
2017-09-28 10:36:19,0,0
2017-09-28 10:36:19,0,0
2017-09-28 10:36:19,0,0
2017-09-28 10:36:19,0,0
2017-09-28 10:36:19,0,0
2020-01-13 21:13:30,1000000,5000
2020-01-13 21:13:30,1000000,5000
2020-01-13 21:13:30,1000000,5000
2020-01-13 21:13:30,1000000,5000
2020-01-13 21:13:30,1000000,5000
2020-01-13 21:13:30,1000000,5000
2020-01-13 21:13:30,1000000,5000
