Date_Start_Date,Project_Cost,Project_Size
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/5/2017,1,1
1/6/2017,1300000,8127
1/6/2017,1300000,8127
1/11/2017,1,1
1/11/2017,1,1
1/11/2017,1,1
1/11/2017,1,1
1/11/2017,1,1
1/11/2017,1,1
1/11/2017,1,1
1/13/2017,1,1
1/13/2017,1,1
1/16/2017,1,1
1/16/2017,1,1
1/16/2017,1,1
1/16/2017,1,1
1/16/2017,1,1
1/16/2017,1,1
1/16/2017,1,1
1/18/2017,1,1
1/18/2017,1,1
1/18/2017,1,1
1/23/2017,1,1
1/23/2017,1,1
1/23/2017,1,1
1/24/2017,3000000,25000
1/24/2017,3000000,25000
1/24/2017,3000000,25000
1/24/2017,3000000,25000
1/24/2017,3000000,25000
1/24/2017,3000000,25000
1/24/2017,3000000,25000
1/26/2017,1,1
1/26/2017,1,1
1/26/2017,1,1
1/27/2017,1000000,5000
1/27/2017,1000000,5000
1/27/2017,1000000,5000
1/27/2017,1000000,5000
1/27/2017,1000000,5000
1/27/2017,1000000,5000
1/27/2017,1000000,5000
1/27/2017,1000000,5000
2/1/2017,1,1
2/1/2017,1,1
2/4/2017,1,1
2/4/2017,1,1
2/4/2017,1,1
2/8/2017,1000000,5000
2/8/2017,1000000,5000
2/8/2017,1000000,5000
2/8/2017,1000000,5000
2/8/2017,1000000,5000
2/8/2017,1000000,5000
2/8/2017,1000000,5000
2/8/2017,1000000,5000
2/8/2017,1000000,5000
2/9/2017,1,1
2/9/2017,1,1
2/9/2017,1,1
2/9/2017,1,1
2/14/2017,1,1
2/14/2017,1,1
2/14/2017,1,1
2/14/2017,1,1
2/23/2017,1000000,5000
2/23/2017,1000000,5000
2/23/2017,1000000,5000
2/23/2017,1000000,5000
2/23/2017,1000000,5000
2/23/2017,1000000,5000
2/23/2017,1000000,5000
2/23/2017,1000000,5000
2/27/2017,1000000,5000
2/27/2017,1000000,5000
2/27/2017,1000000,5000
2/27/2017,1000000,5000
2/28/2017,1,1
2/28/2017,1,1
2/28/2017,1,1
2/28/2017,1,1
2/28/2017,1,1
3/9/2017,1,1
3/9/2017,1,1
3/9/2017,1,1
3/16/2017,1,1
3/16/2017,1,1
3/16/2017,1,1
3/16/2017,1,1
3/16/2017,1,1
3/16/2017,1,1
3/16/2017,1,1
3/17/2017,1,1
3/24/2017,1,1
3/27/2017,1,1
3/27/2017,1,1
3/27/2017,1,1
3/27/2017,1,1
3/27/2017,1,1
3/27/2017,1,1
3/29/2017,1,1
3/29/2017,1,1
3/29/2017,1,1
3/29/2017,1,1
3/29/2017,1,1
3/29/2017,1,1
3/29/2017,1,1
3/29/2017,1,1
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1000000,5000
4/4/2017,1,1
4/4/2017,1,1
4/4/2017,1,1
4/4/2017,1,1
4/4/2017,1,1
4/10/2017,1,1
4/10/2017,1,1
4/10/2017,1,1
4/10/2017,1,1
4/10/2017,1,1
4/10/2017,1,1
4/10/2017,1,1
4/10/2017,1,1
4/12/2017,7000000,28000
4/12/2017,7000000,28000
4/12/2017,7000000,28000
4/14/2017,1,1
4/14/2017,1,1
4/14/2017,1,1
4/14/2017,1,1
4/19/2017,1,1
4/19/2017,1,1
4/19/2017,1,1
4/19/2017,1,1
4/19/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/26/2017,1,1
4/26/2017,1,1
4/26/2017,1,1
4/26/2017,1,1
4/26/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/8/2017,27000,90000
5/8/2017,27000,90000
5/8/2017,27000,90000
5/8/2017,27000,90000
5/8/2017,27000,90000
5/8/2017,27000,90000
5/8/2017,27000,90000
5/8/2017,27000,90000
5/8/2017,27000,90000
5/9/2017,1,1
5/9/2017,1,1
5/9/2017,1,1
5/12/2017,1,1
5/12/2017,1,1
5/12/2017,1,1
5/12/2017,1,1
5/12/2017,1,1
5/12/2017,1,1
5/12/2017,1,1
5/16/2017,1,1
5/16/2017,1,1
5/16/2017,1,1
5/16/2017,1,1
5/16/2017,1,1
5/17/2017,1,1
5/17/2017,1,1
5/17/2017,1,1
5/18/2017,1000000,5000
5/18/2017,1000000,5000
5/18/2017,1000000,5000
5/18/2017,1000000,5000
5/18/2017,1000000,5000
5/18/2017,1000000,5000
5/18/2017,1000000,5000
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/19/2017,100000000,1000000
5/25/2017,1000000,5000
5/25/2017,1000000,5000
5/25/2017,1000000,5000
5/25/2017,1000000,5000
5/25/2017,1000000,5000
5/25/2017,1000000,5000
5/25/2017,1000000,5000
5/25/2017,1,1
5/25/2017,1,1
5/26/2017,1,1
5/26/2017,1,1
5/26/2017,1,1
5/26/2017,1,1
5/26/2017,1000000,5000
5/26/2017,1000000,5000
6/4/2017,13623978,56000
6/4/2017,13623978,56000
6/4/2017,13623978,56000
6/4/2017,13623978,56000
6/4/2017,13623978,56000
6/4/2017,1,1
6/5/2017,350000,16000
6/5/2017,350000,16000
6/5/2017,350000,16000
6/5/2017,350000,16000
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/7/2017,1,1
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,1,1
6/8/2017,1,1
6/8/2017,1,1
6/9/2017,1,1
